0,1,2,3,4,5,6,7,8,9,10
2748543,17968,11295,0,0,0,0,874,0,0,3828
68204,1285,2359,0,0,0,0,0,0,0,0
109747,0,0,0,0,0,0,0,0,0,0
79013,196,652,0,0,0,0,0,0,0,0
93486,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
23448,0,0,0,0,0,0,0,0,0,0
21101,0,0,0,0,0,0,0,0,0,0
14127,0,0,0,0,0,0,0,0,0,0
3874,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
