front,back,left,right,space
2782508,3161543,2960310,2946905,0
71848,19449,71785,88178,0
109747,14306,38172,72121,0
79861,0,20511,30819,0
93486,0,22739,12602,0
0,0,15189,0,0
23448,0,0,0,0
21101,874,9143,0,0
14127,0,2411,565,0
3874,0,8089,7797,0
0,3828,51651,41013,0
