front,back,left,right,space
2616157,3119038,2846339,3008286,0
139313,60492,121717,59132,0
101516,3,63549,50754,0
109604,1646,25198,12564,0
67452,18757,33418,35705,0
21795,61,29777,0,0
34853,0,10178,0,0
0,0,5,0,0
11975,0,3315,4,0
0,0,5366,0,0
97335,3,61138,33555,0
